Series,Date,Value,Sector Code,Sector Description
abs,2017-01-01,49058.0,p5.1.4.2,Telecommunications
abs,2017-01-01,16682.0,p5.1.4.3,Computer and information service activities
abs,2017-01-01,251632.0,p5.2,"Wholesale and retail trade, food & beverage and accommodation"
abs,2017-01-01,209885.0,p5.2.1,Wholesale and retail trade 
abs,2017-01-01,94906.0,p5.2.1.1,Wholesale trade
abs,2017-01-01,92077.0,p5.2.1.2,Retail trade
abs,2017-01-01,22902.0,p5.2.1.3,Motor vehicles
abs,2017-01-01,33043.0,p5.2.2,Food and beverage
abs,2017-01-01,8704.0,p5.2.3,Accommodation
abs,2017-01-01,143664.0,p5.3,"Finance and insurance, real estate and business services"
abs,2017-01-01,63973.0,p5.3.1,Finance
abs,2017-01-01,53835.0,p5.3.1.1,Monetary intermediation
abs,2017-01-01,10137.0,p5.3.1.2,Other financial intermediation and activities auxiliary to finance
abs,2017-01-01,20559.0,p5.3.2,Insurance
abs,2017-01-01,19948.0,p5.3.2.1,Insurance and pension funding
abs,2017-01-01,611.0,p5.3.2.2,Activities auxiliary to insurance
abs,2017-01-01,19393.0,p5.3.3,Real estate
abs,2017-01-01,39739.0,p5.3.4,Business services
abs,2017-01-01,27158.0,p5.3.4.1,"Professional, scientific and technical "
abs,2017-01-01,12580.0,p5.3.4.2,Administrative and support services
abs,2017-01-01,63648.0,p5.4,Other services
abs,2017-01-01,8965.0,p5.4.1,Private health services
abs,2017-01-01,10501.0,p5.4.2,Private education services
abs,2017-01-01,28796.0,p5.4.3,Owner-occupied dwellings
abs,2017-01-01,341.0,p5.4.4,Non-profit institutions serving households
abs,2017-01-01,1199.0,p5.4.5,Domestic services of households
abs,2017-01-01,13846.0,p5.4.6,Other services not elsewhere classified
abs,2017-01-01,109694.0,p5.5,Government services
abs,2017-01-01,15881.0,p5.5.01,General public services
abs,2017-01-01,9025.0,p5.5.02,Defence
abs,2017-01-01,10335.0,p5.5.03,Public order and safety
abs,2017-01-01,9356.0,p5.5.04,Economic affairs
abs,2017-01-01,395.0,p5.5.05,Environmental protection
abs,2017-01-01,1859.0,p5.5.06,Housing and community amenities
abs,2017-01-01,15816.0,p5.5.07,Health
abs,2017-01-01,2064.0,p5.5.08,"Recreation, culture and religion"
abs,2017-01-01,43627.0,p5.5.09,Education
abs,2017-01-01,1337.0,p5.5.10,Social protection
abs,2017-01-01,18076.0,p6,Import duties
abs,2018-01-01,1363766.0,p0,Overall
abs,2018-01-01,99637.0,p1,Agriculture
abs,2018-01-01,65842.0,p1.1,Crops
abs,2018-01-01,2829.0,p1.1.1,Rubber
abs,2018-01-01,37664.0,p1.1.2,Oil palm
abs,2018-01-01,2362.0,p1.1.3,Paddy
